study,window_center,window_width
pancreas_001,67,25
pancreas_004,67,25
pancreas_005,87,30
pancreas_006,67,25
pancreas_010,78,23
pancreas_012,67,25
pancreas_015,103,33
pancreas_016,77,28
pancreas_018,94,32
pancreas_019,111,37
pancreas_021,114,34
pancreas_024,67,25
pancreas_025,67,25
pancreas_028,83,26
pancreas_029,77,25
pancreas_032,118,45
pancreas_035,113,42
pancreas_037,90,30
pancreas_040,114,34
pancreas_041,67,25
pancreas_042,100,33
pancreas_043,110,33
pancreas_045,114,36
pancreas_046,111,36
pancreas_048,117,42
pancreas_049,112,35
pancreas_050,100,37
pancreas_051,67,25
pancreas_052,110,34
pancreas_055,100,32
pancreas_056,97,30
pancreas_058,67,22
pancreas_061,67,25
pancreas_064,80,28
pancreas_066,110,33
pancreas_067,67,25
pancreas_069,90,30
pancreas_070,69,22
pancreas_071,110,37
pancreas_074,112,33
pancreas_075,97,33
pancreas_077,103,33
pancreas_078,103,33
pancreas_080,103,33
pancreas_081,106,33
pancreas_083,110,37
pancreas_084,110,37
pancreas_086,115,37
pancreas_087,79,27
pancreas_088,114,35
pancreas_089,65,23
pancreas_091,65,21
pancreas_092,70,20
pancreas_093,65,23
pancreas_094,85,27
pancreas_095,115,35
pancreas_096,114,39
pancreas_098,114,30
pancreas_099,65,21
pancreas_100,67,25
pancreas_101,107,35
pancreas_102,100,35
pancreas_103,65,22
pancreas_104,65,22
pancreas_105,107,33
pancreas_106,117,35
pancreas_107,65,21
pancreas_109,97,32
pancreas_110,67,25
pancreas_111,115,37
pancreas_113,65,22
pancreas_114,100,37
pancreas_117,107,37
pancreas_119,111,39
pancreas_120,105,39
pancreas_122,100,27
pancreas_124,103,35
pancreas_125,107,35
pancreas_126,104,37
pancreas_127,115,40
pancreas_129,119,35
pancreas_130,105,36
pancreas_131,113,38
pancreas_135,117,39
pancreas_137,108,35
pancreas_138,65,21
pancreas_140,93,30
pancreas_145,91,30
pancreas_147,103,34
pancreas_148,103,34
pancreas_149,107,34
pancreas_155,100,32
pancreas_157,96,31
pancreas_158,127,35
pancreas_159,65,23
pancreas_160,65,23
pancreas_165,65,23
pancreas_166,104,33
pancreas_167,67,25
pancreas_169,89,30
pancreas_170,65,21
pancreas_172,65,21
pancreas_173,65,21
pancreas_175,83,28
pancreas_178,115,41
pancreas_179,67,25
pancreas_180,67,25
pancreas_181,109,37
pancreas_182,87,33
pancreas_183,98,33
pancreas_186,117,33
pancreas_187,103,35
pancreas_191,67,25
pancreas_193,70,25
pancreas_194,67,25
pancreas_196,94,33
pancreas_197,65,23
pancreas_198,120,39
pancreas_199,67,25
pancreas_200,65,21
pancreas_201,67,25
pancreas_203,114,38
pancreas_204,63,18
pancreas_207,94,35
pancreas_209,94,31
pancreas_210,70,23
pancreas_211,65,21
pancreas_212,65,21
pancreas_213,65,21
pancreas_214,107,37
pancreas_215,65,20
pancreas_217,85,32
pancreas_218,67,25
pancreas_219,77,25
pancreas_222,84,30
pancreas_224,65,22
pancreas_225,65,22
